x,Curve1,Curve2
0.0364713,0.500277,0.251092
0.567129,0.496269,0.249307
1.35673,0.490305,0.246653
2.54448,0.478354,0.242659
2.67821,0.477008,0.242097
4.52244,0.460764,0.234349
5.31995,0.45374,0.231668
6.4998,0.444828,0.227701
6.86025,0.442105,0.226489
8.40056,0.430471,0.22131
8.47715,0.429975,0.221053
9.94026,0.420499,0.217362
10.4539,0.417587,0.216066
11.6994,0.410526,0.214181
12.6495,0.405554,0.212742
14.5575,0.395568,0.207929
14.6262,0.395279,0.207756
16.5355,0.387258,0.204866
16.8218,0.386295,0.204432
18.5128,0.380609,0.201872
19.0174,0.37849,0.201108
20.4908,0.372299,0.199868
20.9929,0.370875,0.199446
22.2481,0.367313,0.197546
23.1885,0.363757,0.196122
24.006,0.360665,0.195503
25.3834,0.35719,0.19446
25.9828,0.355679,0.193452
27.3596,0.352206,0.191136
27.9595,0.350693,0.190681
29.5545,0.349351,0.189474
29.935,0.34903,0.189186
31.7495,0.344454,0.187812
31.9118,0.344044,0.187675
33.725,0.341299,0.18615
34.1074,0.34072,0.18586
35.92,0.337671,0.184488
36.0835,0.337396,0.184488
38.0596,0.334072,0.184488
38.1143,0.333989,0.184488
40.2552,0.330748,0.182866
40.3093,0.330657,0.182825
42.2313,0.327424,0.18137
42.5043,0.327217,0.181163
44.4263,0.325762,0.181163
44.6986,0.325556,0.181163
46.6213,0.3241,0.179546
46.6742,0.324011,0.179501
48.5974,0.320776,0.179501
48.8685,0.32057,0.179501
50.7924,0.319114,0.178045
51.0635,0.318908,0.177839
52.9873,0.317452,0.177839
53.2578,0.317247,0.177839
55.1823,0.315789,0.176382
55.4528,0.315562,0.176177
57.1578,0.314127,0.176177
57.6472,0.313757,0.176177
59.3528,0.312465,0.176177
59.6221,0.312261,0.176177
61.3782,0.310932,0.174515
61.5478,0.310803,0.174515
63.5725,0.30927,0.174515
63.7427,0.309141,0.174515
65.7183,0.307479,0.174515
65.7669,0.307442,0.174515
67.9132,0.305817,0.17289
67.9619,0.305817,0.172853
70.1076,0.305817,0.172853
70.1562,0.30578,0.172853
72.3026,0.304155,0.172853
72.3506,0.304119,0.172853
74.3261,0.302623,0.171191
74.4975,0.302493,0.171191
76.5205,0.302493,0.171191
76.6919,0.302493,0.171191
78.6674,0.300831,0.171191
78.7148,0.300831,0.171191
80.8618,0.300831,0.171191
80.9092,0.300831,0.171191
83.0561,0.300831,0.171191
83.1035,0.300795,0.171191
85.0791,0.299299,0.169529
85.2511,0.299169,0.169529
87.2266,0.297507,0.169529
87.2734,0.297507,0.169529
89.421,0.297507,0.169529
89.4678,0.297507,0.169529
91.6153,0.297507,0.169529
91.6621,0.297468,0.169529
93.5909,0.295845,0.169529
93.8565,0.295845,0.169529
95.7852,0.295845,0.169529
96.0509,0.295845,0.169529
97.9796,0.295845,0.169529
98.2452,0.295644,0.169529
100.175,0.294183,0.169529
100.22,0.294183,0.169529
102.369,0.294183,0.167902
102.415,0.294148,0.167867
104.564,0.292521,0.167867
104.609,0.292521,0.167867
106.758,0.292521,0.167867
106.804,0.292521,0.167867
108.953,0.292521,0.167867
108.998,0.292521,0.167867
110.928,0.292521,0.167867
111.193,0.292298,0.167867
112.903,0.290859,0.167867
113.387,0.290859,0.167867
115.097,0.290859,0.166428
115.362,0.290859,0.166205
117.292,0.290859,0.166205
117.557,0.290859,0.166205
119.486,0.290859,0.166205
119.751,0.290658,0.166205
121.681,0.289197,0.166205
121.945,0.289197,0.166205
123.875,0.289197,0.166205
124.14,0.289197,0.166205
126.07,0.289197,0.166205
126.334,0.288974,0.166205
128.045,0.287535,0.166205
128.529,0.287535,0.166205
130.24,0.287535,0.166205
130.723,0.287535,0.166205
132.434,0.287535,0.166205
132.917,0.287535,0.166205
134.628,0.287535,0.166205
135.112,0.287535,0.166205
136.823,0.287535,0.166205
137.306,0.287535,0.166205
139.017,0.287535,0.166205
