x,Curve1,Curve2,,
0.00E+00,1,1,,"[0.000,1.00,1.000],"
0.0753138,1.02129,1.00608,,"[0.075,1.02,1.006],"
0.225941,1.05171,1.02433,,"[0.226,1.05,1.024],"
0.414226,1.09125,1.04715,,"[0.414,1.09,1.047],"
0.527197,1.11863,1.06084,,"[0.527,1.12,1.061],"
0.564854,1.12776,1.06489,,"[0.565,1.13,1.065],"
0.715481,1.1673,1.08112,,"[0.715,1.17,1.081],"
0.866109,1.19316,1.09734,,"[0.866,1.19,1.097],"
1.01674,1.21901,1.11231,,"[1.017,1.22,1.112],"
1.31799,1.27072,1.14226,,"[1.318,1.27,1.142],"
1.35565,1.27512,1.14601,,"[1.356,1.28,1.146],"
1.6569,1.31027,1.16426,,"[1.657,1.31,1.164],"
1.9205,1.34068,1.18023,,"[1.921,1.34,1.180],"
1.95816,1.34508,1.18251,,"[1.958,1.35,1.183],"
2.25941,1.38023,1.19873,,"[2.259,1.38,1.199],"
2.52301,1.40152,1.21293,,"[2.523,1.40,1.213],"
2.56067,1.40456,1.21483,,"[2.561,1.40,1.215],"
2.89958,1.43194,1.23194,,"[2.900,1.43,1.232],"
3.12552,1.44816,1.24335,,"[3.126,1.45,1.243],"
3.23849,1.45627,1.24815,,"[3.238,1.46,1.248],"
3.57741,1.47452,1.26256,,"[3.577,1.47,1.263],"
3.841,1.49049,1.27376,,"[3.841,1.49,1.274],"
3.87866,1.49278,1.2749,,"[3.879,1.49,1.275],"
4.21757,1.51103,1.28517,,"[4.218,1.51,1.285],"
4.44351,1.52226,1.29202,,"[4.444,1.52,1.292],"
4.70711,1.53536,1.30078,,"[4.707,1.54,1.301],"
5.08368,1.55195,1.31331,,"[5.084,1.55,1.313],"
5.12134,1.55361,1.31411,,"[5.121,1.55,1.314],"
5.49791,1.56578,1.32211,,"[5.498,1.57,1.322],"
5.79916,1.57684,1.32852,,"[5.799,1.58,1.329],"
5.91213,1.58099,1.3308,,"[5.912,1.58,1.331],"
6.32636,1.59316,1.33916,,"[6.326,1.59,1.339],"
6.40167,1.59503,1.34068,,"[6.402,1.60,1.341],"
6.8159,1.60532,1.34856,,"[6.816,1.61,1.349],"
7.04184,1.61039,1.35285,,"[7.042,1.61,1.353],"
7.49372,1.62053,1.36359,,"[7.494,1.62,1.364],"
7.68201,1.6256,1.36806,,"[7.682,1.63,1.368],"
7.94561,1.6327,1.37043,,"[7.946,1.63,1.370],"
8.35983,1.64106,1.37414,,"[8.360,1.64,1.374],"
8.54812,1.64487,1.37683,,"[8.548,1.64,1.377],"
9,1.65217,1.38327,,"[9.000,1.65,1.383],"
9.11297,1.65399,1.38471,,"[9.113,1.65,1.385],"
9.64017,1.66312,1.39143,,"[9.640,1.66,1.391],"
9.71548,1.66474,1.3924,,"[9.715,1.66,1.392],"
10.205,1.67529,1.39734,,"[10.205,1.68,1.397],"
10.318,1.67659,1.39848,,"[10.318,1.68,1.398],"
10.7322,1.68137,1.40406,,"[10.732,1.68,1.404],"
10.7699,1.68184,1.40456,,"[10.770,1.68,1.405],"
11.2218,1.68745,1.40943,,"[11.222,1.69,1.409],"
11.3347,1.68867,1.41065,,"[11.335,1.69,1.411],"
11.7866,1.69354,1.41325,,"[11.787,1.69,1.413],"
11.8619,1.69475,1.41369,,"[11.862,1.69,1.414],"
12.1632,1.69962,1.41543,,"[12.163,1.70,1.415],"
12.3891,1.7019,1.41673,,"[12.389,1.70,1.417],"
12.7657,1.7057,1.42325,,"[12.766,1.71,1.423],"
12.9163,1.70733,1.42586,,"[12.916,1.71,1.426],"
13.3305,1.71179,1.42979,,"[13.331,1.71,1.430],"
13.5565,1.71422,1.43194,,"[13.557,1.71,1.432],"
13.8954,1.71787,1.43194,,"[13.895,1.72,1.432],"
13.9707,1.71874,1.43194,,"[13.971,1.72,1.432],"
14.4226,1.72395,1.43455,,"[14.423,1.72,1.435],"
14.4979,1.72395,1.43498,,"[14.498,1.72,1.435],"
14.9498,1.72395,1.43802,,"[14.950,1.72,1.438],"
15.4017,1.73004,1.44083,,"[15.402,1.73,1.441],"
15.4393,1.73023,1.44106,,"[15.439,1.73,1.441],"
15.7782,1.73194,1.44411,,"[15.778,1.73,1.444],"
16.0042,1.73308,1.44639,,"[16.004,1.73,1.446],"
16.0795,1.73346,1.44715,,"[16.080,1.73,1.447],"
